dialog_id,speaker,utterance_id,text
4,customer,3,I’ll take one shokudo ramen.
4,agent,4,All right.
4,agent,5,Go ahead.
4,customer,6,I’ll take one turtle wagy tamaki for two.
4,agent,7,Sure.
4,agent,8,What else can I get you?
4,customer,9,I’ll take one golden bun four pieces.
4,agent,10,Sure.
4,agent,11,Next item?
4,customer,12,I’ll take one spider roll.
4,agent,13,Sure.
4,agent,14,What else can I get you?
4,customer,15,"Uh, let me think."
4,customer,16,I’ll take one spicy ramen.
4,agent,17,Okay.
4,agent,18,Next item?
4,customer,19,I’ll take one maguro tamaki for two.
4,agent,20,Sure.
4,customer,21,That should do it.
4,agent,22,Pickup or delivery?
4,customer,23,Pickup.
4,agent,24,"Thanks, we’ll take care of it."
4,customer,25,Thank you.
5,agent,0,"Hi, thanks for calling."
5,customer,1,I’m calling in an order.
5,customer,2,I’ll take one sesame chicken.
5,agent,3,Gotcha.
5,agent,4,Anything else?
5,customer,5,"Actually, hang on."
5,customer,6,I’ll take one vegetable fried rice.
5,agent,7,No problem.
5,customer,8,I’ll take one hot and sour soup.
5,agent,9,Gotcha.
5,agent,10,Next item?
5,customer,11,"Actually, hang on."
5,customer,12,I’ll take one shrimp lo mein.
5,agent,13,Okay.
5,agent,14,Keep going.
5,customer,15,I’ll take one pork dumplings.
5,agent,16,Sure.
5,agent,17,Next item?
5,customer,18,I’ll take one beef with broccoli.
5,customer,19,That should do it.
5,agent,20,Pickup or delivery?
5,customer,21,Pickup.
5,agent,22,You’re all set.
5,customer,23,Thank you.
6,agent,0,"Hello, restaurant speaking."
6,customer,1,"Hello, I need to order dinner."
6,customer,2,I’ll take one caesar salad.
6,agent,3,All right.
6,agent,4,What else can I get you?
6,customer,5,I’ll take one fries.
6,agent,6,Sure.
6,customer,7,"Actually, hang on."
6,customer,8,I’ll take one milkshake.
6,agent,9,Sounds good.
6,customer,10,I’ll take one grilled chicken sandwich.
6,customer,11,That’s everything.
6,agent,12,Pickup or delivery?
6,customer,13,Delivery.
6,agent,14,"Thanks, we’ll take care of it."
6,customer,15,Thank you.
7,agent,0,"Good evening, how can I help you?"
7,customer,1,"Hello, I need to order dinner."
7,customer,2,I’ll take one onion rings.
7,agent,3,All right.
7,agent,4,What else can I get you?
7,customer,5,I’ll take one grilled chicken sandwich.
7,agent,6,Gotcha.
7,agent,7,Go ahead.
7,customer,8,Sorry—
7,customer,9,I’ll take one milkshake.
7,agent,10,No problem.
7,agent,11,Go ahead.
7,customer,12,I’ll take one caesar salad.
7,agent,13,Added.
7,customer,14,I’ll take one bacon burger.
7,agent,15,I’ve got that.
7,customer,16,That’s everything.
7,agent,17,Pickup or delivery?
7,customer,18,Pickup.
7,agent,19,We’ll get started on that.
7,customer,20,Thank you.
8,agent,0,"Hi, thanks for calling."
8,customer,1,I’m calling in an order.
8,customer,2,I’ll take one salmon avocado roll.
8,agent,3,Okay.
8,agent,4,Anything else?
8,customer,5,I’ll take one rainbow roll.
8,agent,6,Added.
8,agent,7,Go ahead.
8,customer,8,I’ll take one shrimp tempura appetizer.
8,agent,9,All right.
8,agent,10,Anything else?
8,customer,11,I’ll take one curry chicken katsu.
8,agent,12,I’ve got that.
8,customer,13,I’ll take one tonkotsu ramen.
8,agent,14,Sure.
8,agent,15,Next item?
8,customer,16,"Actually, hang on."
8,customer,17,I’ll take one a a c roll.
8,agent,18,Sounds good.
8,customer,19,That should do it.
8,agent,20,Pickup or delivery?
8,customer,21,Pickup.
8,agent,22,We’ll get started on that.
8,customer,23,Thank you.
9,agent,0,"Hello, restaurant speaking."
9,customer,1,"Hey, can I order some food?"
9,customer,2,I’ll take one bacon burger.
9,agent,3,Okay.
9,agent,4,Go ahead.
9,customer,5,"Uh, let me think."
9,customer,6,I’ll take one caesar salad.
9,agent,7,Sounds good.
9,customer,8,"Yep, that’s it."
9,agent,9,Pickup or delivery?
9,customer,10,Delivery.
9,agent,11,We’ll get started on that.
9,customer,12,Thank you.
10,agent,0,"Hi, thanks for calling."
10,customer,1,"Hello, I need to order dinner."
10,customer,2,I’ll take one general tso chicken.
10,agent,3,All right.
10,agent,4,Anything else?
10,customer,5,One second.
10,customer,6,I’ll take one kung pao chicken.
10,agent,7,Sure.
10,customer,8,I’ll take one vegetable fried rice.
10,agent,9,Okay.
10,customer,10,"Actually, hang on."
10,customer,11,I’ll take one beef with broccoli.
10,agent,12,Sounds good.
10,agent,13,Anything else?
10,customer,14,I’ll take one pork dumplings.
10,agent,15,Sure.
10,agent,16,Anything else?
10,customer,17,One second.
10,customer,18,I’ll take one hot and sour soup.
10,agent,19,Okay.
10,customer,20,I’ll take one sesame chicken.
10,agent,21,Gotcha.
10,customer,22,"Yep, that’s it."
10,agent,23,Pickup or delivery?
10,customer,24,Delivery.
10,agent,25,We’ll get started on that.
10,customer,26,Thank you.
11,agent,0,Thank you for calling.
11,customer,1,"Hello, I need to order dinner."
11,customer,2,I’ll take one caesar salad.
11,agent,3,Added.
11,agent,4,Go ahead.
11,customer,5,I’ll take one milkshake.
11,agent,6,Gotcha.
11,customer,7,"Uh, let me think."
11,customer,8,I’ll take one grilled chicken sandwich.
11,customer,9,I think that’s all.
11,agent,10,Pickup or delivery?
11,customer,11,Delivery.
11,agent,12,"Thanks, we’ll take care of it."
11,customer,13,Thank you.
12,agent,0,"Good evening, how can I help you?"
12,customer,1,I’m calling in an order.
12,customer,2,I’ll take one onion rings.
12,agent,3,Anything else?
12,customer,4,I’ll take one chicken tenders.
12,agent,5,Sounds good.
12,customer,6,I’ll take one bacon burger.
12,agent,7,Go ahead.
12,customer,8,One second.
12,customer,9,I’ll take one grilled chicken sandwich.
12,agent,10,No problem.
12,customer,11,"Yep, that’s it."
12,agent,12,Pickup or delivery?
12,customer,13,Delivery.
12,agent,14,We’ll get started on that.
12,customer,15,Thank you.
13,agent,0,Thank you for calling.
13,customer,1,"Hello, I need to order dinner."
13,customer,2,I’ll take one general tso chicken.
13,agent,3,I’ve got that.
13,agent,4,Anything else?
13,customer,5,I’ll take one hot and sour soup.
13,agent,6,Gotcha.
13,agent,7,What else can I get you?
13,customer,8,"Actually, hang on."
13,customer,9,I’ll take one pork dumplings.
13,agent,10,Sounds good.
13,customer,11,I’ll take one beef with broccoli.
13,customer,12,I’ll take one kung pao chicken.
13,agent,13,Gotcha.
13,agent,14,Next item?
13,customer,15,Sorry—
13,customer,16,I’ll take one sesame chicken.
13,agent,17,Gotcha.
13,agent,18,What else can I get you?
13,customer,19,I’ll take one vegetable fried rice.
13,agent,20,Okay.
13,customer,21,That’s everything.
13,agent,22,Pickup or delivery?
13,customer,23,Pickup.
13,agent,24,That’ll be ready shortly.
13,customer,25,Thank you.
14,agent,0,"Hi, thanks for calling."
14,customer,1,I’m calling in an order.
14,customer,2,I’ll take one garlic bread.
14,agent,3,Gotcha.
14,agent,4,Next item?
14,customer,5,I’ll take one pepperoni pizza.
14,agent,6,No problem.
14,customer,7,"Uh, let me think."
14,customer,8,I’ll take one veggie pizza.
14,agent,9,All right.
14,customer,10,I’ll take one margherita pizza.
14,agent,11,I’ve got that.
14,agent,12,Anything else?
14,customer,13,I’ll take one large cheese pizza.
14,agent,14,Okay.
14,agent,15,Keep going.
14,customer,16,I’ll take one meat lovers pizza.
14,agent,17,No problem.
14,customer,18,I think that’s all.
14,agent,19,Pickup or delivery?
14,customer,20,Delivery.
14,agent,21,We’ll get started on that.
14,customer,22,Thank you.
15,agent,0,Thank you for calling.
15,customer,1,"Hello, I need to order dinner."
15,customer,2,I’ll take one calzone.
15,agent,3,Gotcha.
15,customer,4,Sorry—
15,customer,5,I’ll take one pepperoni pizza.
15,agent,6,Added.
15,agent,7,Go ahead.
15,customer,8,I’ll take one meat lovers pizza.
15,agent,9,Sounds good.
15,agent,10,Go ahead.
15,customer,11,I’ll take one large cheese pizza.
15,agent,12,Sure.
15,customer,13,I think that’s all.
15,agent,14,Pickup or delivery?
15,customer,15,Delivery.
15,agent,16,We’ll get started on that.
15,customer,17,Thank you.
16,agent,0,Thank you for calling.
16,customer,1,"Hey, can I order some food?"
16,customer,2,I’ll take one cheeseburger.
16,agent,3,All right.
16,agent,4,What else can I get you?
16,customer,5,I’ll take one grilled chicken sandwich.
16,agent,6,Sure.
16,agent,7,What else can I get you?
16,customer,8,I’ll take one fries.
16,agent,9,Okay.
16,agent,10,Keep going.
16,customer,11,I’ll take one milkshake.
16,agent,12,Sure.
16,agent,13,Next item?
16,customer,14,"Actually, hang on."
16,customer,15,I’ll take one chicken tenders.
16,agent,16,I’ve got that.
16,agent,17,Go ahead.
16,customer,18,"Actually, hang on."
16,customer,19,I’ll take one onion rings.
16,agent,20,I’ve got that.
16,agent,21,Go ahead.
16,customer,22,One second.
16,customer,23,I’ll take one caesar salad.
16,agent,24,Gotcha.
16,customer,25,"Yep, that’s it."
16,agent,26,Pickup or delivery?
16,customer,27,Pickup.
16,agent,28,"Thanks, we’ll take care of it."
16,customer,29,Thank you.
17,agent,0,"Hello, restaurant speaking."
17,customer,1,"Hello, I need to order dinner."
17,customer,2,I’ll take one chicken tenders.
17,agent,3,Added.
17,agent,4,Go ahead.
17,customer,5,I’ll take one cheeseburger.
17,agent,6,All right.
17,customer,7,"Uh, let me think."
17,customer,8,I’ll take one grilled chicken sandwich.
17,agent,9,No problem.
17,agent,10,Keep going.
17,customer,11,I’ll take one fries.
17,agent,12,Sure.
17,agent,13,Keep going.
17,customer,14,I’ll take one onion rings.
17,agent,15,Next item?
17,customer,16,I’ll take one bacon burger.
17,agent,17,I’ve got that.
17,customer,18,I think that’s all.
17,agent,19,Pickup or delivery?
17,customer,20,Delivery.
17,agent,21,"Thanks, we’ll take care of it."
17,customer,22,Thank you.
18,agent,0,"Hi, thanks for calling."
18,customer,1,"Hey, can I order some food?"
18,customer,2,"Uh, let me think."
18,customer,3,I’ll take one fries.
18,agent,4,I’ve got that.
18,agent,5,Anything else?
18,customer,6,One second.
18,customer,7,I’ll take one cheeseburger.
18,agent,8,Sounds good.
18,agent,9,Next item?
18,customer,10,I’ll take one milkshake.
18,agent,11,All right.
18,agent,12,What else can I get you?
18,customer,13,I’ll take one onion rings.
18,agent,14,All right.
18,agent,15,Next item?
18,customer,16,Sorry—
18,customer,17,I’ll take one bacon burger.
18,agent,18,Next item?
18,customer,19,I’ll take one caesar salad.
18,agent,20,Added.
18,customer,21,"Yep, that’s it."
18,agent,22,Pickup or delivery?
18,customer,23,Pickup.
18,agent,24,"Thanks, we’ll take care of it."
18,customer,25,Thank you.
19,agent,0,"Hi, thanks for calling."
19,customer,1,I’m calling in an order.
19,customer,2,I’ll take one shrimp lo mein.
19,agent,3,No problem.
19,customer,4,Sorry—
19,customer,5,I’ll take one general tso chicken.
19,agent,6,Okay.
19,customer,7,That’s everything.
19,agent,8,Pickup or delivery?
19,customer,9,Pickup.
19,agent,10,That’ll be ready shortly.
19,customer,11,Thank you.
20,agent,0,"Good evening, how can I help you?"
20,customer,1,"Hi, I’d like to place an order."
20,customer,2,I’ll take one bacon burger.
20,agent,3,All right.
20,customer,4,One second.
20,customer,5,I’ll take one milkshake.
20,agent,6,No problem.
20,agent,7,Anything else?
20,customer,8,I’ll take one fries.
20,agent,9,Next item?
20,customer,10,I’ll take one caesar salad.
20,agent,11,Okay.
20,customer,12,I think that’s all.
20,agent,13,Pickup or delivery?
20,customer,14,Pickup.
20,agent,15,We’ll get started on that.
20,customer,16,Thank you.
21,agent,0,"Hello, restaurant speaking."
21,customer,1,"Hi, I’d like to place an order."
21,customer,2,I’ll take one sesame chicken.
21,agent,3,Sounds good.
21,agent,4,What else can I get you?
21,customer,5,I’ll take one pork dumplings.
21,agent,6,Sure.
21,customer,7,I’ll take one general tso chicken.
21,agent,8,Sure.
21,agent,9,Anything else?
21,customer,10,I’ll take one hot and sour soup.
21,customer,11,I’ll take one beef with broccoli.
21,agent,12,Sounds good.
21,agent,13,Go ahead.
21,customer,14,I’ll take one kung pao chicken.
21,agent,15,All right.
21,customer,16,That should do it.
21,agent,17,Pickup or delivery?
21,customer,18,Pickup.
21,agent,19,That’ll be ready shortly.
21,customer,20,Thank you.
22,agent,0,"Hi, thanks for calling."
22,customer,1,"Hey, can I order some food?"
22,customer,2,Sorry—
22,customer,3,I’ll take one eggplant rollatini.
22,agent,4,I’ve got that.
22,customer,5,I’ll take one fettuccine alfredo.
22,agent,6,All right.
22,agent,7,What else can I get you?
22,customer,8,Sorry—
22,customer,9,I’ll take one garlic knots.
22,agent,10,All right.
22,agent,11,Next item?
22,customer,12,I’ll take one caesar salad.
22,agent,13,All right.
22,customer,14,I’ll take one lasagna.
22,agent,15,Sure.
22,customer,16,Sorry—
22,customer,17,I’ll take one chicken parmesan.
22,agent,18,Added.
22,agent,19,Next item?
22,customer,20,"Actually, hang on."
22,customer,21,I’ll take one penne vodka.
22,agent,22,Sounds good.
22,customer,23,"Yep, that’s it."
22,agent,24,Pickup or delivery?
22,customer,25,Pickup.
22,agent,26,We’ll get started on that.
22,customer,27,Thank you.
23,agent,0,Thank you for calling.
23,customer,1,I’m calling in an order.
23,customer,2,I’ll take one caesar salad.
23,agent,3,Okay.
23,agent,4,What else can I get you?
23,customer,5,I’ll take one cheeseburger.
23,agent,6,I’ve got that.
23,customer,7,That’s everything.
23,agent,8,Pickup or delivery?
23,customer,9,Delivery.
23,agent,10,"Thanks, we’ll take care of it."
23,customer,11,Thank you.
24,agent,0,"Hello, restaurant speaking."
24,customer,1,"Hey, can I order some food?"
24,customer,2,I’ll take one general tso chicken.
24,agent,3,Next item?
24,customer,4,I’ll take one pork dumplings.
24,agent,5,All right.
24,customer,6,I think that’s all.
24,agent,7,Pickup or delivery?
24,customer,8,Pickup.
24,agent,9,That’ll be ready shortly.
24,customer,10,Thank you.
25,agent,0,"Good evening, how can I help you?"
25,customer,1,"Hey, can I order some food?"
25,customer,2,I’ll take one buffalo chicken pizza.
25,agent,3,Okay.
25,agent,4,Go ahead.
25,customer,5,I’ll take one veggie pizza.
25,agent,6,Next item?
25,customer,7,I’ll take one garlic bread.
25,agent,8,Okay.
25,agent,9,Keep going.
25,customer,10,I’ll take one meat lovers pizza.
25,agent,11,Gotcha.
25,customer,12,That should do it.
25,agent,13,Pickup or delivery?
25,customer,14,Pickup.
25,agent,15,"Thanks, we’ll take care of it."
25,customer,16,Thank you.
26,agent,0,"Good evening, how can I help you?"
26,customer,1,I’m calling in an order.
26,customer,2,I’ll take one edamame.
26,agent,3,Go ahead.
26,customer,4,Sorry—
26,customer,5,I’ll take one black dragon roll.
26,agent,6,Sounds good.
26,customer,7,That’s everything.
26,agent,8,Pickup or delivery?
26,customer,9,Pickup.
26,agent,10,We’ll get started on that.
26,customer,11,Thank you.
27,agent,0,"Hi, thanks for calling."
27,customer,1,"Hey, can I order some food?"
27,customer,2,I’ll take one garlic bread.
27,agent,3,All right.
27,customer,4,I’ll take one large cheese pizza.
27,agent,5,All right.
27,agent,6,Next item?
27,customer,7,I’ll take one buffalo chicken pizza.
27,agent,8,Added.
27,agent,9,Keep going.
27,customer,10,I’ll take one calzone.
27,agent,11,Anything else?
27,customer,12,"Uh, let me think."
27,customer,13,I’ll take one margherita pizza.
27,agent,14,Sure.
27,agent,15,Next item?
27,customer,16,One second.
27,customer,17,I’ll take one veggie pizza.
27,agent,18,Okay.
27,customer,19,I’ll take one meat lovers pizza.
27,agent,20,All right.
27,customer,21,"Yep, that’s it."
27,agent,22,Pickup or delivery?
27,customer,23,Pickup.
27,agent,24,"Thanks, we’ll take care of it."
27,customer,25,Thank you.
28,agent,0,"Hello, restaurant speaking."
28,customer,1,"Hello, I need to order dinner."
28,customer,2,I’ll take one salmon roe.
28,agent,3,No problem.
28,agent,4,Anything else?
28,customer,5,I’ll take one fuji mountain roll.
28,agent,6,Added.
28,customer,7,"Yep, that’s it."
28,agent,8,Pickup or delivery?
28,customer,9,Pickup.
28,agent,10,That’ll be ready shortly.
28,customer,11,Thank you.
29,agent,0,"Good evening, how can I help you?"
29,customer,1,"Hi, I’d like to place an order."
29,customer,2,I’ll take one bacon burger.
29,agent,3,Added.
29,agent,4,What else can I get you?
29,customer,5,I’ll take one caesar salad.
29,agent,6,Sure.
29,agent,7,Go ahead.
29,customer,8,I’ll take one cheeseburger.
29,agent,9,Okay.
29,agent,10,Go ahead.
29,customer,11,I’ll take one fries.
29,agent,12,Okay.
29,agent,13,Keep going.
29,customer,14,"Actually, hang on."
29,customer,15,I’ll take one onion rings.
29,agent,16,I’ve got that.
29,agent,17,Keep going.
29,customer,18,I’ll take one grilled chicken sandwich.
29,customer,19,That’s everything.
29,agent,20,Pickup or delivery?
29,customer,21,Pickup.
29,agent,22,That’ll be ready shortly.
29,customer,23,Thank you.
30,agent,0,"Good evening, how can I help you?"
30,customer,1,"Hi, I’d like to place an order."
30,customer,2,I’ll take one garlic bread.
30,agent,3,Next item?
30,customer,4,I’ll take one meat lovers pizza.
30,agent,5,What else can I get you?
30,customer,6,I’ll take one veggie pizza.
30,agent,7,I’ve got that.
30,agent,8,Anything else?
30,customer,9,"Actually, hang on."
30,customer,10,I’ll take one buffalo chicken pizza.
30,agent,11,Sure.
30,customer,12,That’s everything.
30,agent,13,Pickup or delivery?
30,customer,14,Delivery.
30,agent,15,We’ll get started on that.
30,customer,16,Thank you.
31,agent,0,"Hi, thanks for calling."
31,customer,1,I’m calling in an order.
31,customer,2,"Uh, let me think."
31,customer,3,I’ll take one meat lovers pizza.
31,agent,4,No problem.
31,agent,5,What else can I get you?
31,customer,6,I’ll take one large cheese pizza.
31,agent,7,Gotcha.
31,customer,8,I’ll take one margherita pizza.
31,agent,9,Okay.
31,customer,10,I’ll take one pepperoni pizza.
31,agent,11,Sure.
31,agent,12,Anything else?
31,customer,13,I’ll take one buffalo chicken pizza.
31,agent,14,I’ve got that.
31,agent,15,Anything else?
31,customer,16,I’ll take one veggie pizza.
31,agent,17,All right.
31,customer,18,That should do it.
31,agent,19,Pickup or delivery?
31,customer,20,Pickup.
31,agent,21,That’ll be ready shortly.
31,customer,22,Thank you.
32,agent,0,Thank you for calling.
32,customer,1,"Hey, can I order some food?"
32,customer,2,I’ll take one garlic bread.
32,agent,3,Gotcha.
32,agent,4,Next item?
32,customer,5,"Uh, let me think."
32,customer,6,I’ll take one margherita pizza.
32,agent,7,Okay.
32,agent,8,Go ahead.
32,customer,9,Sorry—
32,customer,10,I’ll take one buffalo chicken pizza.
32,agent,11,Go ahead.
32,customer,12,I’ll take one pepperoni pizza.
32,agent,13,Sounds good.
32,customer,14,I’ll take one meat lovers pizza.
32,agent,15,No problem.
32,customer,16,I think that’s all.
32,agent,17,Pickup or delivery?
32,customer,18,Pickup.
32,agent,19,"Thanks, we’ll take care of it."
32,customer,20,Thank you.
33,agent,0,Thank you for calling.
33,customer,1,I’m calling in an order.
33,customer,2,Sorry—
33,customer,3,I’ll take one guacamole and chips.
33,agent,4,Sounds good.
33,customer,5,I’ll take one chicken enchiladas.
33,agent,6,All right.
33,agent,7,Anything else?
33,customer,8,I’ll take one steak burrito.
33,agent,9,Sure.
33,customer,10,That should do it.
33,agent,11,Pickup or delivery?
33,customer,12,Delivery.
33,agent,13,We’ll get started on that.
33,customer,14,Thank you.
34,agent,0,"Good evening, how can I help you?"
34,customer,1,"Hello, I need to order dinner."
34,customer,2,I’ll take one sparkling water.
34,agent,3,No problem.
34,agent,4,Keep going.
34,customer,5,I’ll take one ahi tuna.
34,agent,6,What else can I get you?
34,customer,7,I’ll take one shokudo roll.
34,customer,8,I’ll take one eel cucumber roll.
34,agent,9,Sure.
34,agent,10,Next item?
34,customer,11,I’ll take one coral sea.
34,agent,12,Okay.
34,customer,13,One second.
34,customer,14,I’ll take one scallop.
34,agent,15,Sounds good.
34,customer,16,That’s everything.
34,agent,17,Pickup or delivery?
34,customer,18,Pickup.
34,agent,19,"Thanks, we’ll take care of it."
34,customer,20,Thank you.
35,agent,0,"Good evening, how can I help you?"
35,customer,1,"Hey, can I order some food?"
35,customer,2,I’ll take one cucumber avocado roll.
35,agent,3,I’ve got that.
35,customer,4,I’ll take one twelve pieces sashimi.
35,agent,5,Sounds good.
35,agent,6,This comes with miso soup or salad. Which would you like?
35,customer,7,Soup.
35,customer,8,That’s everything.
35,agent,9,Pickup or delivery?
35,customer,10,Pickup.
35,agent,11,You’re all set.
35,customer,12,Thank you.
36,agent,0,"Hello, restaurant speaking."
36,customer,1,"Hello, I need to order dinner."
36,customer,2,I’ll take one chicken enchiladas.
36,agent,3,Sounds good.
36,agent,4,Go ahead.
36,customer,5,I’ll take one chicken tacos.
36,agent,6,Sounds good.
36,customer,7,That should do it.
36,agent,8,Pickup or delivery?
36,customer,9,Delivery.
36,agent,10,"Thanks, we’ll take care of it."
36,customer,11,Thank you.
37,agent,0,"Hi, thanks for calling."
37,customer,1,I’m calling in an order.
37,customer,2,I’ll take one buffalo chicken pizza.
37,agent,3,All right.
37,customer,4,I’ll take one meat lovers pizza.
37,agent,5,I’ve got that.
37,customer,6,I’ll take one garlic bread.
37,agent,7,Sure.
37,agent,8,Anything else?
37,customer,9,"Actually, hang on."
37,customer,10,I’ll take one veggie pizza.
37,agent,11,No problem.
37,agent,12,Anything else?
37,customer,13,I’ll take one calzone.
37,agent,14,Added.
37,customer,15,That should do it.
37,agent,16,Pickup or delivery?
37,customer,17,Delivery.
37,agent,18,You’re all set.
37,customer,19,Thank you.
38,agent,0,Thank you for calling.
38,customer,1,"Hello, I need to order dinner."
38,customer,2,Sorry—
38,customer,3,I’ll take one beef with broccoli.
38,agent,4,Gotcha.
38,agent,5,Go ahead.
38,customer,6,"Actually, hang on."
38,customer,7,I’ll take one kung pao chicken.
38,agent,8,Sounds good.
38,agent,9,What else can I get you?
38,customer,10,I’ll take one shrimp lo mein.
38,agent,11,Gotcha.
38,agent,12,Go ahead.
38,customer,13,I’ll take one sesame chicken.
38,agent,14,All right.
38,agent,15,Next item?
38,customer,16,I’ll take one general tso chicken.
38,agent,17,Sure.
38,agent,18,Next item?
38,customer,19,I’ll take one vegetable fried rice.
38,agent,20,Gotcha.
38,customer,21,That’s everything.
38,agent,22,Pickup or delivery?
38,customer,23,Delivery.
38,agent,24,"Thanks, we’ll take care of it."
38,customer,25,Thank you.
39,agent,0,"Hi, thanks for calling."
39,customer,1,I’m calling in an order.
39,customer,2,One second.
39,customer,3,I’ll take one summer kiss roll.
39,agent,4,Sounds good.
39,agent,5,Next item?
39,customer,6,"Actually, hang on."
39,customer,7,I’ll take one cowboy roll.
39,agent,8,Gotcha.
39,agent,9,Keep going.
39,customer,10,I’ll take one ginger ale.
39,agent,11,Sure.
39,customer,12,That’s everything.
39,agent,13,Pickup or delivery?
39,customer,14,Delivery.
39,agent,15,That’ll be ready shortly.
39,customer,16,Thank you.
40,agent,0,Thank you for calling.
40,customer,1,"Hi, I’d like to place an order."
40,customer,2,I’ll take one guacamole and chips.
40,agent,3,I’ve got that.
40,agent,4,Next item?
40,customer,5,I’ll take one rice and beans.
40,agent,6,Gotcha.
40,customer,7,I think that’s all.
40,agent,8,Pickup or delivery?
40,customer,9,Pickup.
40,agent,10,That’ll be ready shortly.
40,customer,11,Thank you.
41,agent,0,"Hello, restaurant speaking."
41,customer,1,"Hello, I need to order dinner."
41,customer,2,One second.
41,customer,3,I’ll take one chicken tacos.
41,agent,4,Okay.
41,agent,5,Next item?
41,customer,6,"Actually, hang on."
41,customer,7,I’ll take one carnitas tacos.
41,agent,8,All right.
41,agent,9,Next item?
41,customer,10,"Uh, let me think."
41,customer,11,I’ll take one rice and beans.
41,agent,12,Okay.
41,customer,13,I think that’s all.
41,agent,14,Pickup or delivery?
41,customer,15,Pickup.
41,agent,16,That’ll be ready shortly.
41,customer,17,Thank you.
42,agent,0,"Good evening, how can I help you?"
42,customer,1,"Hi, I’d like to place an order."
42,customer,2,Sorry—
42,customer,3,I’ll take one steak burrito.
42,agent,4,Added.
42,agent,5,Go ahead.
42,customer,6,I’ll take one guacamole and chips.
42,agent,7,Sounds good.
42,agent,8,Go ahead.
42,customer,9,I’ll take one rice and beans.
42,agent,10,Gotcha.
42,customer,11,That’s everything.
42,agent,12,Pickup or delivery?
42,customer,13,Delivery.
42,agent,14,We’ll get started on that.
42,customer,15,Thank you.
43,agent,0,Thank you for calling.
43,customer,1,I’m calling in an order.
43,customer,2,Sorry—
43,customer,3,I’ll take one seaweed salad.
43,agent,4,Sure.
43,customer,5,"Actually, hang on."
43,customer,6,I’ll take one peanut avocado roll.
43,agent,7,All right.
43,agent,8,Next item?
43,customer,9,Sorry—
43,customer,10,I’ll take one kani salad.
43,customer,11,"Yep, that’s it."
43,agent,12,Pickup or delivery?
43,customer,13,Pickup.
43,agent,14,"Thanks, we’ll take care of it."
43,customer,15,Thank you.
44,agent,0,"Good evening, how can I help you?"
44,customer,1,"Hey, can I order some food?"
44,customer,2,One second.
44,customer,3,I’ll take one caesar salad.
44,agent,4,Added.
44,agent,5,Go ahead.
44,customer,6,"Actually, hang on."
44,customer,7,I’ll take one milkshake.
44,agent,8,Okay.
44,agent,9,Keep going.
44,customer,10,"Uh, let me think."
44,customer,11,I’ll take one chicken tenders.
44,agent,12,Gotcha.
44,customer,13,That’s everything.
